block.0.attn.q_conv.weight,block.0.attn.q_conv.bias,block.0.attn.k_conv.weight,block.0.attn.k_conv.bias,block.0.attn.v_conv.weight,block.0.attn.v_conv.bias,block.0.attn.talking_heads.weight,block.0.attn.proj_conv.weight,block.0.attn.proj_conv.bias,block.0.mlp.fc1_conv.weight,block.0.mlp.fc1_conv.bias,block.0.mlp.fc2_conv.weight,block.0.mlp.fc2_conv.bias,head.bias,head.weight
44,2,1068,0,956,0,0,0,0,0,0,0,0,2,0
0,0,915,0,945,2,0,0,0,0,0,0,0,3,0
0,1,265,0,312,0,0,0,0,0,0,0,0,3,0
0,1,9,0,9,1,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,10,0
9830,1,9830,0,9830,1,1,9830,6,74802,42,39322,0,3,5120
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,1,0,1,0,1,1,0,0,0,0,0,0,4,0
0,0,7,0,11,0,0,0,0,0,0,0,0,3,0
0,1,283,0,284,1,0,0,0,0,0,0,0,0,0
0,0,871,1,808,0,2,0,0,0,0,0,0,2,0
51,0,1021,0,1002,0,0,0,0,0,0,0,0,3,0
327,0,922,0,932,0,0,0,0,0,0,0,0,3,0
544,0,986,0,910,0,0,7,6,0,0,0,0,4,0
612,1,965,1,920,0,0,0,0,0,0,0,0,2,107
676,1,907,1,901,0,0,0,0,0,0,0,0,4,277
632,2,913,0,980,0,1,0,0,0,0,0,0,2,289
669,0,828,0,931,0,1,0,0,0,0,0,0,2,314
653,0,821,0,833,0,0,0,0,0,0,0,0,1,328
613,0,820,0,864,0,0,0,0,0,0,0,0,2,299
670,0,798,0,811,0,0,0,0,0,0,0,0,1,331
642,1,757,0,774,0,0,1250,13,40488,42,0,0,2,343
624,0,769,3,788,0,0,0,0,0,0,0,0,0,336
642,0,751,1,785,1,1,0,0,0,0,0,0,0,324
626,0,676,0,710,1,0,0,0,0,0,0,0,0,326
595,0,679,2,671,1,0,0,0,0,0,0,0,1,295
618,0,634,0,678,1,0,0,0,0,0,0,0,0,299
584,1,626,1,610,1,0,0,0,0,0,0,0,0,349
621,0,631,0,651,0,1,0,0,0,0,0,0,0,315
532,0,546,0,606,0,0,2024,10,0,0,0,0,1,319
552,0,561,0,517,1,2,0,0,0,0,0,0,0,296
546,0,510,0,539,1,0,0,0,0,0,0,0,1,292
531,1,496,0,527,0,0,0,0,0,0,0,0,0,288
547,0,462,2,465,1,2,0,0,0,0,0,0,0,265
480,0,470,0,470,0,0,0,0,0,0,0,0,0,263
551,1,449,0,485,0,0,0,0,0,0,0,0,0,248
514,0,425,0,417,0,0,0,0,0,0,0,0,0,255
476,1,405,0,394,2,1,1941,16,21564,39,0,0,0,230
488,0,388,0,367,1,1,0,0,0,0,0,0,0,229
465,0,351,0,343,1,0,0,0,0,0,0,0,0,211
476,0,324,0,365,2,2,0,0,0,0,0,0,0,210
445,0,315,0,291,1,0,0,0,0,0,0,0,0,187
453,1,298,1,298,2,0,0,0,0,0,0,0,0,177
409,0,259,0,271,0,1,0,0,0,0,0,0,0,182
424,2,260,0,245,0,0,0,0,0,0,0,0,0,147
354,0,255,0,226,1,1,1968,16,0,0,0,0,0,146
400,1,218,0,233,1,0,0,0,0,0,0,0,0,148
401,0,224,2,183,0,0,0,0,0,0,0,0,0,123
346,0,187,2,200,1,1,0,0,0,0,0,0,0,117
353,0,193,0,189,0,0,0,0,0,0,0,0,0,94
352,1,157,0,170,0,0,0,0,0,0,0,0,0,87
344,0,145,0,152,3,0,0,0,0,0,0,0,0,80
301,1,143,0,159,0,0,0,0,0,0,0,0,0,60
339,0,112,1,148,1,1,1830,10,8305,43,703,3,0,74
296,1,126,1,131,2,1,0,0,0,0,0,0,0,59
301,1,111,1,118,0,0,0,0,0,0,0,0,0,59
297,1,100,0,121,0,0,0,0,0,0,0,0,0,41
